SDO:NonRapidEyeMovementSleep-N1
SDO:NonRapidEyeMovementSleep-N2
SDO:NonRapidEyeMovementSleep-N3
SDO:NonRapidEyeMovementSleep-N4
SDO:RapidEyeMovementSleep
SDO:WakeState
SDO:WakeState
